,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.1298763988723516,0.009666536565907541,0.0,0.0
1,1,0.14612689912967441,0.009543150894862714,0.016250500257322838,0.0016020617678115128
2,2,0.1541844866937483,0.010159578109334263,0.0243080878213967,0.002851803659804599
3,3,0.1587767482673616,0.010272355760177787,0.028900349395009982,0.003340604619502978
4,4,0.1623077334847638,0.010328001299551864,0.03243133461241221,0.003986522806491195
5,5,0.16475031330367643,0.010293559310707785,0.03487391443132485,0.004150855094131176
6,6,0.16659341764627866,0.010411719033269729,0.036717018773927065,0.0043857966458234745
7,7,0.16796723611308342,0.01027222254174646,0.03809083724073183,0.004576494645077388
8,8,0.16941690435283757,0.010261394705077925,0.03954050548048595,0.004847605779840762
9,9,0.17049969231522402,0.010231685981327909,0.04062329344287242,0.004953531706804031
10,10,0.1714610943333893,0.010127456809895519,0.04158469546103773,0.0050587163062746346
11,11,0.17251725594489514,0.009904198388836266,0.042640857072543545,0.004995923095330766
12,12,0.1735465897234352,0.009745944894493031,0.0436701908510836,0.005034177258571004
13,13,0.17437595364099673,0.009538570849070508,0.04449955476864516,0.0049517453650192
14,14,0.17496711150342786,0.009519542481470508,0.045090712631076245,0.004973141638392712
15,15,0.17549970135658674,0.009386885695621421,0.045623302484235136,0.004824693168085087
16,16,0.17604030287330558,0.009238026857493533,0.04616390400095396,0.004944555839440056
17,17,0.17652850776723109,0.009131602205550121,0.04665210889487946,0.0049658994091761055
18,18,0.176849391823583,0.00896927799313224,0.04697299295123137,0.005068794296058828
19,19,0.1771626834449544,0.008852353781003092,0.04728628457260279,0.005191449195683216
20,20,0.17742709164833476,0.008807916254761848,0.04755069277598316,0.005192489232796958
21,21,0.1776808862068647,0.008760109460557278,0.047804487334513125,0.005208583948021747
22,22,0.17790253046455676,0.008712600415283668,0.04802613159220519,0.0051433184579754475
23,23,0.178041574834157,0.00872316920260463,0.04816517596180544,0.005253961515812218
24,24,0.178265506831837,0.008666348550141551,0.048389107959485436,0.005335279417957681
25,25,0.1784558887214344,0.008669008367993686,0.04857948984908279,0.005430773990585742
26,26,0.17863142236252028,0.008614463573467115,0.04875502349016868,0.0054573379808285204
27,27,0.178758606033012,0.008547253251587164,0.048882207160660406,0.005414273230001388
28,28,0.17898918503591907,0.008549857730526892,0.04911278616356749,0.005432966088521726
29,29,0.17913635422093807,0.008524183055553261,0.04925995534858648,0.005424880422039173
30,30,0.17921250598629243,0.008492778210249855,0.049336107113940854,0.005454796851096741
31,31,0.17930149292727343,0.008401930337741647,0.04942509405492188,0.005511135649914817
